employee_id,browser,device,operating_system,location,login_hour,failed_attempts,new_device,new_location,label
EMP087,Chrome,Mobile,macOS,Bengaluru,11,0,Yes,No,Normal
EMP065,Chrome,Mobile,Android,Chennai,8,0,No,No,Normal
EMP001,Edge,Mobile,iOS,Hyderabad,11,1,Yes,No,Normal
EMP014,Edge,Mobile,Android,Mumbai,12,0,No,No,Normal
EMP094,Firefox,Laptop,Windows,Unknown,23,3,Yes,Yes,Suspicious
EMP091,Chrome,Laptop,Windows,Delhi,12,1,Yes,No,Normal
EMP013,Edge,Unknown,Windows,Russia,23,4,Yes,Yes,Suspicious
EMP035,Safari,Mobile,macOS,Bengaluru,13,1,No,Yes,Normal
EMP049,Chrome,Mobile,Linux,Delhi,19,0,No,No,Normal
EMP035,Edge,Mobile,macOS,Chennai,11,0,No,No,Normal
EMP051,Edge,Desktop,Windows,China,22,6,Yes,Yes,Suspicious
EMP055,Safari,Desktop,macOS,Bengaluru,11,1,Yes,Yes,Normal
EMP015,Safari,Laptop,Linux,Bengaluru,16,1,No,No,Normal
EMP077,Firefox,Desktop,Windows,Russia,3,6,Yes,Yes,Suspicious
EMP015,Firefox,Mobile,Windows,Chennai,18,1,Yes,No,Normal
EMP081,Edge,Laptop,Windows,Mumbai,16,0,Yes,No,Normal
EMP063,Edge,Desktop,macOS,Bengaluru,16,0,Yes,No,Normal
EMP011,Chrome,Laptop,Linux,Russia,1,3,Yes,Yes,Suspicious
EMP034,Chrome,Mobile,Linux,Bengaluru,18,1,Yes,No,Normal
EMP084,Safari,Desktop,iOS,Bengaluru,19,1,No,Yes,Normal
EMP071,Safari,Desktop,Linux,Bengaluru,9,1,No,Yes,Normal
EMP010,Edge,Desktop,Windows,Chennai,11,0,No,No,Normal
EMP074,Firefox,Mobile,Android,Bengaluru,16,0,Yes,Yes,Normal
EMP053,Safari,Laptop,Linux,Chennai,9,1,No,No,Normal
EMP025,Chrome,Mobile,Windows,Chennai,14,1,No,No,Normal
EMP032,Chrome,Unknown,Windows,China,2,6,Yes,Yes,Suspicious
EMP022,Chrome,Laptop,iOS,Chennai,8,0,No,No,Normal
EMP034,Safari,Desktop,Android,Chennai,10,1,No,No,Normal
EMP038,Safari,Laptop,Android,Delhi,18,1,No,No,Normal
EMP075,Chrome,Mobile,iOS,Chennai,19,1,No,No,Normal
EMP087,Edge,Desktop,iOS,Chennai,10,0,Yes,No,Normal
EMP054,Safari,Desktop,iOS,Bengaluru,17,0,Yes,No,Normal
EMP086,Firefox,Laptop,Linux,Mumbai,11,1,No,No,Normal
EMP028,Safari,Laptop,Windows,Chennai,15,0,No,Yes,Normal
EMP070,Edge,Laptop,Windows,Bengaluru,13,1,No,No,Normal
EMP015,Chrome,Mobile,iOS,Mumbai,18,0,No,No,Normal
EMP082,Edge,Laptop,macOS,Delhi,11,1,No,Yes,Normal
EMP001,Safari,Laptop,Windows,Chennai,18,1,No,No,Normal
EMP055,Edge,Mobile,macOS,Bengaluru,19,1,Yes,Yes,Normal
EMP019,Chrome,Desktop,Linux,Delhi,8,1,Yes,Yes,Normal
EMP086,Chrome,Laptop,macOS,Chennai,13,0,Yes,No,Normal
EMP023,Edge,Laptop,Linux,China,23,4,Yes,Yes,Suspicious
EMP090,Chrome,Desktop,macOS,Hyderabad,18,0,No,No,Normal
EMP045,Firefox,Laptop,Linux,China,23,6,Yes,Yes,Suspicious
EMP099,Edge,Desktop,Windows,Bengaluru,14,1,No,No,Normal
EMP075,Safari,Mobile,iOS,Mumbai,8,0,No,No,Normal
EMP056,Firefox,Desktop,Windows,Delhi,14,1,Yes,No,Normal
EMP001,Chrome,Laptop,iOS,Bengaluru,12,0,Yes,No,Normal
EMP085,Edge,Laptop,Android,Chennai,18,1,Yes,No,Normal
EMP071,Firefox,Mobile,macOS,Hyderabad,13,1,Yes,No,Normal
EMP052,Chrome,Desktop,Windows,China,4,5,Yes,Yes,Suspicious
EMP057,Chrome,Laptop,macOS,Bengaluru,14,1,No,No,Normal
EMP087,Safari,Mobile,Linux,Chennai,12,1,No,No,Normal
EMP059,Edge,Desktop,Windows,Chennai,11,1,Yes,No,Normal
EMP089,Edge,Mobile,Android,Hyderabad,14,0,No,Yes,Normal
EMP007,Firefox,Laptop,Linux,China,23,6,Yes,Yes,Suspicious
EMP093,Chrome,Laptop,Linux,Hyderabad,18,1,No,Yes,Normal
EMP097,Safari,Mobile,Android,Bengaluru,19,1,No,No,Normal
EMP037,Firefox,Mobile,Android,Bengaluru,12,1,No,Yes,Normal
EMP089,Firefox,Laptop,iOS,Chennai,10,0,No,No,Normal
EMP054,Firefox,Unknown,Windows,London,2,6,Yes,Yes,Suspicious
EMP046,Chrome,Laptop,Linux,London,3,3,Yes,Yes,Suspicious
EMP035,Safari,Laptop,iOS,Delhi,17,0,No,No,Normal
EMP080,Chrome,Laptop,macOS,Hyderabad,19,0,No,No,Normal
EMP024,Safari,Mobile,iOS,Chennai,9,1,No,No,Normal
EMP098,Chrome,Laptop,Linux,London,2,5,Yes,Yes,Suspicious
EMP007,Firefox,Laptop,macOS,Chennai,15,0,Yes,Yes,Normal
EMP080,Firefox,Desktop,Windows,Chennai,8,0,No,No,Normal
EMP099,Firefox,Laptop,Linux,China,3,5,Yes,Yes,Suspicious
EMP087,Chrome,Desktop,macOS,Chennai,17,0,No,Yes,Normal
EMP099,Safari,Laptop,Linux,Chennai,17,0,No,Yes,Normal
EMP009,Chrome,Mobile,Windows,Mumbai,16,1,Yes,No,Normal
EMP059,Firefox,Desktop,Android,Hyderabad,9,1,No,Yes,Normal
EMP094,Safari,Desktop,iOS,Mumbai,17,1,No,No,Normal
EMP079,Firefox,Desktop,Windows,Mumbai,15,0,No,Yes,Normal
EMP034,Firefox,Desktop,Android,Mumbai,10,1,No,No,Normal
EMP053,Firefox,Mobile,Windows,Delhi,11,0,No,Yes,Normal
EMP029,Edge,Mobile,Android,Hyderabad,15,0,No,No,Normal
EMP071,Edge,Laptop,iOS,Mumbai,15,1,No,Yes,Normal
EMP041,Safari,Laptop,macOS,Mumbai,11,0,Yes,No,Normal
EMP036,Edge,Desktop,Linux,China,1,6,Yes,Yes,Suspicious
EMP002,Firefox,Desktop,Linux,Mumbai,11,1,No,No,Normal
EMP082,Edge,Laptop,Windows,Chennai,16,1,Yes,No,Normal
EMP044,Safari,Desktop,Windows,Delhi,12,1,No,No,Normal
EMP052,Firefox,Laptop,Windows,Russia,23,3,Yes,Yes,Suspicious
EMP072,Chrome,Desktop,Linux,Delhi,12,0,No,No,Normal
EMP040,Edge,Mobile,Android,Hyderabad,15,1,Yes,No,Normal
EMP011,Chrome,Mobile,Windows,Bengaluru,18,0,No,Yes,Normal
EMP058,Firefox,Desktop,Linux,China,0,6,Yes,Yes,Suspicious
EMP010,Safari,Laptop,Windows,Bengaluru,12,1,Yes,No,Normal
EMP083,Firefox,Mobile,iOS,Bengaluru,14,0,Yes,No,Normal
EMP077,Chrome,Unknown,Linux,Russia,1,5,Yes,Yes,Suspicious
EMP035,Firefox,Laptop,Windows,Hyderabad,19,1,Yes,No,Normal
EMP078,Safari,Laptop,Windows,Delhi,8,1,Yes,No,Normal
EMP098,Chrome,Desktop,iOS,Delhi,8,1,Yes,No,Normal
EMP012,Safari,Mobile,Android,Mumbai,10,1,Yes,No,Normal
EMP064,Safari,Laptop,macOS,Chennai,10,1,No,Yes,Normal
EMP015,Safari,Mobile,Windows,Hyderabad,9,1,No,No,Normal
EMP067,Safari,Mobile,Windows,Delhi,15,1,No,No,Normal
EMP037,Safari,Mobile,Android,Chennai,11,1,Yes,No,Normal
EMP002,Safari,Desktop,Windows,Delhi,11,0,No,Yes,Normal
EMP038,Chrome,Desktop,Windows,Hyderabad,9,0,No,Yes,Normal
EMP050,Firefox,Laptop,Android,Hyderabad,11,1,Yes,No,Normal
EMP044,Edge,Desktop,Linux,Russia,2,6,Yes,Yes,Suspicious
EMP069,Firefox,Desktop,macOS,Mumbai,17,1,No,No,Normal
EMP031,Firefox,Mobile,iOS,Hyderabad,15,1,No,Yes,Normal
EMP050,Edge,Laptop,Windows,Mumbai,19,1,Yes,No,Normal
EMP013,Edge,Laptop,Windows,Bengaluru,16,1,No,No,Normal
EMP034,Safari,Desktop,Linux,Hyderabad,18,0,No,No,Normal
EMP092,Safari,Mobile,Windows,Mumbai,18,1,No,Yes,Normal
EMP037,Safari,Mobile,Windows,Delhi,9,0,Yes,Yes,Normal
EMP004,Chrome,Laptop,Windows,Chennai,15,0,Yes,No,Normal
EMP032,Firefox,Laptop,Windows,Unknown,3,4,Yes,Yes,Suspicious
EMP031,Edge,Desktop,Linux,Chennai,17,1,Yes,Yes,Normal
